hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.019,0.019,0.019,0.0195,0.0195,0.0225,0.0235
1,0.038,0.038,0.038,0.039,0.039,0.045,0.047
2,0.052,0.052,0.052,0.0535,0.0535,0.0615,0.0645
3,0.066,0.066,0.066,0.068,0.068,0.078,0.082
4,0.079,0.079,0.079,0.081,0.081,0.0925,0.097
5,0.092,0.092,0.092,0.094,0.094,0.107,0.112
6,0.114,0.114,0.11349999999999999,0.116,0.11549999999999999,0.1295,0.1345
7,0.136,0.136,0.13499999999999998,0.138,0.13699999999999998,0.152,0.157
8,0.188,0.1865,0.1845,0.187,0.186,0.1985,0.2055
9,0.24,0.237,0.23399999999999999,0.236,0.235,0.24500000000000002,0.254
10,0.3075,0.302,0.2985,0.3,0.299,0.3075,0.318
11,0.375,0.367,0.363,0.364,0.363,0.37,0.382
12,0.439,0.43,0.426,0.427,0.426,0.4325,0.444
13,0.503,0.493,0.489,0.49,0.489,0.495,0.506
14,0.5635,0.5529999999999999,0.5495,0.5505,0.55,0.556,0.5660000000000001
15,0.624,0.613,0.61,0.611,0.611,0.617,0.6260000000000001
16,0.683,0.6725,0.6695,0.6705,0.6705,0.674,0.6820000000000002
17,0.7420000000000001,0.732,0.729,0.73,0.73,0.7310000000000001,0.7380000000000002
18,0.7970000000000002,0.7885,0.7855,0.7865,0.7845,0.7840000000000001,0.7915000000000002
19,0.8520000000000002,0.845,0.842,0.843,0.839,0.8370000000000002,0.8450000000000002
20,0.8970000000000002,0.892,0.889,0.89,0.8855,0.8835000000000002,0.8910000000000002
21,0.9420000000000003,0.9390000000000001,0.936,0.937,0.9319999999999999,0.9300000000000002,0.9370000000000003
22,0.9715000000000003,0.9695,0.9670000000000001,0.9685,0.9654999999999999,0.9650000000000002,0.9685000000000002
23,1.0010000000000003,1.0,0.9980000000000001,1.0,0.9989999999999999,1.0000000000000002,1.0000000000000002
