Date,QLD,NAT
2011-01-14,217,439
2011-01-15,217,439
2011-01-16,217,439
2011-01-17,217,439
2011-01-18,217,439
2011-01-19,217,439
2011-01-20,217,439
2011-01-21,217,439
2011-01-22,217,439
2011-01-23,217,439
2011-01-24,217,439
2011-01-25,217,439
2011-01-26,217,439
2011-01-27,217,439
2011-01-28,199,375
2011-01-29,199,375
2011-01-30,199,375
2011-01-31,199,375
2011-02-01,199,375
2011-02-02,199,375
2011-02-03,199,375
2011-02-04,199,375
2011-02-05,199,375
2011-02-06,199,375
2011-02-07,199,375
2011-02-08,199,375
2011-02-09,199,375
2011-02-10,199,375
2011-02-11,165,368
2011-02-12,165,368
2011-02-13,165,368
2011-02-14,165,368
2011-02-15,165,368
2011-02-16,165,368
2011-02-17,165,368
2011-02-18,165,368
2011-02-19,165,368
2011-02-20,165,368
2011-02-21,165,368
2011-02-22,165,368
2011-02-23,165,368
2011-02-24,165,368
2011-02-25,197,769
2011-02-26,197,769
2011-02-27,197,769
2011-02-28,197,769
2011-03-01,197,769
2011-03-02,197,769
2011-03-03,197,769
2011-03-04,197,769
2011-03-05,197,769
2011-03-06,197,769
2011-03-07,197,769
2011-03-08,197,769
2011-03-09,197,769
2011-03-10,197,769
2011-03-11,220,466
2011-03-12,220,466
2011-03-13,220,466
2011-03-14,220,466
2011-03-15,220,466
2011-03-16,220,466
2011-03-17,220,466
2011-03-18,220,466
2011-03-19,220,466
2011-03-20,220,466
2011-03-21,220,466
2011-03-22,220,466
2011-03-23,220,466
2011-03-24,220,466
2011-03-25,203,381
2011-03-26,203,381
2011-03-27,203,381
2011-03-28,203,381
2011-03-29,203,381
2011-03-30,203,381
2011-03-31,203,381
2011-04-01,203,381
2011-04-02,203,381
2011-04-03,203,381
2011-04-04,203,381
2011-04-05,203,381
2011-04-06,203,381
2011-04-07,203,381
2011-04-08,206,364
2011-04-09,206,364
2011-04-10,206,364
2011-04-11,206,364
2011-04-12,206,364
2011-04-13,206,364
2011-04-14,206,364
2011-04-15,206,364
2011-04-16,206,364
2011-04-17,206,364
2011-04-18,206,364
2011-04-19,206,364
2011-04-20,206,364
2011-04-21,206,364
2011-04-22,165,287
2011-04-23,165,287
2011-04-24,165,287
2011-04-25,165,287
2011-04-26,165,287
2011-04-27,165,287
2011-04-28,165,287
2011-04-29,165,287
2011-04-30,165,287
2011-05-01,165,287
2011-05-02,165,287
2011-05-03,165,287
2011-05-04,165,287
2011-05-05,165,287
2011-05-06,112,236
2011-05-07,112,236
2011-05-08,112,236
2011-05-09,112,236
2011-05-10,112,236
2011-05-11,112,236
2011-05-12,112,236
2011-05-13,112,236
2011-05-14,112,236
2011-05-15,112,236
2011-05-16,112,236
2011-05-17,112,236
2011-05-18,112,236
2011-05-19,112,236
2011-05-20,114,264
2011-05-21,114,264
2011-05-22,114,264
2011-05-23,114,264
2011-05-24,114,264
2011-05-25,114,264
2011-05-26,114,264
2011-05-27,114,264
2011-05-28,114,264
2011-05-29,114,264
2011-05-30,114,264
2011-05-31,114,264
2011-06-01,114,264
2011-06-02,114,264
2011-06-03,185,484
2011-06-04,185,484
2011-06-05,185,484
2011-06-06,185,484
2011-06-07,185,484
2011-06-08,185,484
2011-06-09,185,484
2011-06-10,185,484
2011-06-11,185,484
2011-06-12,185,484
2011-06-13,185,484
2011-06-14,185,484
2011-06-15,185,484
2011-06-16,185,484
2011-06-17,302,720
2011-06-18,302,720
2011-06-19,302,720
2011-06-20,302,720
2011-06-21,302,720
2011-06-22,302,720
2011-06-23,302,720
2011-06-24,302,720
2011-06-25,302,720
2011-06-26,302,720
2011-06-27,302,720
2011-06-28,302,720
2011-06-29,302,720
2011-06-30,302,720
2011-07-01,602,1283
2011-07-02,602,1283
2011-07-03,602,1283
2011-07-04,602,1283
2011-07-05,602,1283
2011-07-06,602,1283
2011-07-07,602,1283
2011-07-08,602,1283
2011-07-09,602,1283
2011-07-10,602,1283
2011-07-11,602,1283
2011-07-12,602,1283
2011-07-13,602,1283
2011-07-14,602,1283
2011-07-15,754,1840
2011-07-16,754,1840
2011-07-17,754,1840
2011-07-18,754,1840
2011-07-19,754,1840
2011-07-20,754,1840
2011-07-21,754,1840
2011-07-22,754,1840
2011-07-23,754,1840
2011-07-24,754,1840
2011-07-25,754,1840
2011-07-26,754,1840
2011-07-27,754,1840
2011-07-28,754,1840
2011-07-29,1782,3201
2011-07-30,1782,3201
2011-07-31,1782,3201
2011-08-01,1782,3201
2011-08-02,1782,3201
2011-08-03,1782,3201
2011-08-04,1782,3201
2011-08-05,1782,3201
2011-08-06,1782,3201
2011-08-07,1782,3201
2011-08-08,1782,3201
2011-08-09,1782,3201
2011-08-10,1782,3201
2011-08-11,1782,3201
2011-08-12,1732,3361
2011-08-13,1732,3361
2011-08-14,1732,3361
2011-08-15,1732,3361
2011-08-16,1732,3361
2011-08-17,1732,3361
2011-08-18,1732,3361
2011-08-19,1732,3361
2011-08-20,1732,3361
2011-08-21,1732,3361
2011-08-22,1732,3361
2011-08-23,1732,3361
2011-08-24,1732,3361
2011-08-25,1732,3361
2011-08-26,1535,3296
2011-08-27,1535,3296
2011-08-28,1535,3296
2011-08-29,1535,3296
2011-08-30,1535,3296
2011-08-31,1535,3296
2011-09-01,1535,3296
2011-09-02,1535,3296
2011-09-03,1535,3296
2011-09-04,1535,3296
2011-09-05,1535,3296
2011-09-06,1535,3296
2011-09-07,1535,3296
2011-09-08,1535,3296
2011-09-09,882,2585
2011-09-10,882,2585
2011-09-11,882,2585
2011-09-12,882,2585
2011-09-13,882,2585
2011-09-14,882,2585
2011-09-15,882,2585
2011-09-16,882,2585
2011-09-17,882,2585
2011-09-18,882,2585
2011-09-19,882,2585
2011-09-20,882,2585
2011-09-21,882,2585
2011-09-22,882,2585
2011-09-23,561,2066
2011-09-24,561,2066
2011-09-25,561,2066
2011-09-26,561,2066
2011-09-27,561,2066
2011-09-28,561,2066
2011-09-29,561,2066
2011-09-30,561,2066
2011-10-01,561,2066
2011-10-02,561,2066
2011-10-03,561,2066
2011-10-04,561,2066
2011-10-05,561,2066
2011-10-06,561,2066
2011-10-07,270,1164
2011-10-08,270,1164
2011-10-09,270,1164
2011-10-10,270,1164
2011-10-11,270,1164
2011-10-12,270,1164
2011-10-13,270,1164
2011-10-14,270,1164
2011-10-15,270,1164
2011-10-16,270,1164
2011-10-17,270,1164
2011-10-18,270,1164
2011-10-19,270,1164
2011-10-20,270,1164
2011-10-21,370,1057
2011-10-22,370,1057
2011-10-23,370,1057
2011-10-24,370,1057
2011-10-25,370,1057
2011-10-26,370,1057
2011-10-27,370,1057
2011-10-28,370,1057
2011-10-29,370,1057
2011-10-30,370,1057
2011-10-31,370,1057
2011-11-01,370,1057
2011-11-02,370,1057
2011-11-03,370,1057
2011-11-04,205,597
2011-11-05,205,597
2011-11-06,205,597
2011-11-07,205,597
2011-11-08,205,597
2011-11-09,205,597
2011-11-10,205,597
2011-11-11,205,597
2011-11-12,205,597
2011-11-13,205,597
2011-11-14,205,597
2011-11-15,205,597
2011-11-16,205,597
2011-11-17,205,597
2011-11-18,145,442
2011-11-19,145,442
2011-11-20,145,442
2011-11-21,145,442
2011-11-22,145,442
2011-11-23,145,442
2011-11-24,145,442
2011-11-25,145,442
2011-11-26,145,442
2011-11-27,145,442
2011-11-28,145,442
2011-11-29,145,442
2011-11-30,145,442
2011-12-01,145,442
2011-12-02,145,442
2011-12-03,145,442
2011-12-04,145,442
2011-12-05,145,442
2011-12-06,145,442
2011-12-07,145,442
2011-12-08,145,442
2011-12-09,145,442
2011-12-10,145,442
2011-12-11,145,442
2011-12-12,145,442
2011-12-13,145,442
2011-12-14,145,442
2011-12-15,145,442
2011-12-16,145,442
2011-12-17,145,442
2011-12-18,145,442
2011-12-19,145,442
2011-12-20,145,442
2011-12-21,145,442
2011-12-22,145,442
2011-12-23,145,442
2011-12-24,145,442
2011-12-25,145,442
2011-12-26,145,442
2011-12-27,145,442
2011-12-28,145,442
2011-12-29,145,442
2011-12-30,145,442
2011-12-31,145,442
2012-01-01,145,442
2012-01-02,145,442
2012-01-03,145,442
2012-01-04,145,442
2012-01-05,145,442
2012-01-06,145,442
2012-01-07,145,442
2012-01-08,145,442
2012-01-09,145,442
2012-01-10,145,442
2012-01-11,145,442
2012-01-12,145,442
2012-01-13,145,442
2012-01-14,145,442
2012-01-15,145,442
2012-01-16,145,442
2012-01-17,145,442
2012-01-18,145,442
2012-01-19,145,442
2012-01-20,145,442
2012-01-21,145,442
2012-01-22,145,442
2012-01-23,145,442
2012-01-24,145,442
2012-01-25,145,442
2012-01-26,145,442
2012-01-27,145,442
2012-01-28,37,131
2012-01-29,37,131
2012-01-30,37,131
2012-01-31,37,131
2012-02-01,37,131
2012-02-02,37,131
2012-02-03,37,131
2012-02-04,37,131
2012-02-05,37,131
2012-02-06,37,131
2012-02-07,37,131
2012-02-08,37,131
2012-02-09,37,131
2012-02-10,37,131
2012-02-11,51,160
2012-02-12,51,160
2012-02-13,51,160
2012-02-14,51,160
2012-02-15,51,160
2012-02-16,51,160
2012-02-17,51,160
2012-02-18,51,160
2012-02-19,51,160
2012-02-20,51,160
2012-02-21,51,160
2012-02-22,51,160
2012-02-23,51,160
2012-02-24,51,160
2012-02-25,56,151
2012-02-26,56,151
2012-02-27,56,151
2012-02-28,56,151
2012-02-29,56,151
2012-03-01,56,151
2012-03-02,56,151
2012-03-03,56,151
2012-03-04,56,151
2012-03-05,56,151
2012-03-06,56,151
2012-03-07,56,151
2012-03-08,56,151
2012-03-09,56,151
2012-03-10,78,208
2012-03-11,78,208
2012-03-12,78,208
2012-03-13,78,208
2012-03-14,78,208
2012-03-15,78,208
2012-03-16,78,208
2012-03-17,78,208
2012-03-18,78,208
2012-03-19,78,208
2012-03-20,78,208
2012-03-21,78,208
2012-03-22,78,208
2012-03-23,78,208
2012-03-24,77,268
2012-03-25,77,268
2012-03-26,77,268
2012-03-27,77,268
2012-03-28,77,268
2012-03-29,77,268
2012-03-30,77,268
2012-03-31,77,268
2012-04-01,77,268
2012-04-02,77,268
2012-04-03,77,268
2012-04-04,77,268
2012-04-05,77,268
2012-04-06,77,268
2012-04-07,73,278
2012-04-08,73,278
2012-04-09,73,278
2012-04-10,73,278
2012-04-11,73,278
2012-04-12,73,278
2012-04-13,73,278
2012-04-14,73,278
2012-04-15,73,278
2012-04-16,73,278
2012-04-17,73,278
2012-04-18,73,278
2012-04-19,73,278
2012-04-20,73,278
2012-04-21,80,273
2012-04-22,80,273
2012-04-23,80,273
2012-04-24,80,273
2012-04-25,80,273
2012-04-26,80,273
2012-04-27,80,273
2012-04-28,80,273
2012-04-29,80,273
2012-04-30,80,273
2012-05-01,80,273
2012-05-02,80,273
2012-05-03,80,273
2012-05-04,80,273
2012-05-05,88,287
2012-05-06,88,287
2012-05-07,88,287
2012-05-08,88,287
2012-05-09,88,287
2012-05-10,88,287
2012-05-11,88,287
2012-05-12,88,287
2012-05-13,88,287
2012-05-14,88,287
2012-05-15,88,287
2012-05-16,88,287
2012-05-17,88,287
2012-05-18,88,287
2012-05-19,105,305
2012-05-20,105,305
2012-05-21,105,305
2012-05-22,105,305
2012-05-23,105,305
2012-05-24,105,305
2012-05-25,105,305
2012-05-26,105,305
2012-05-27,105,305
2012-05-28,105,305
2012-05-29,105,305
2012-05-30,105,305
2012-05-31,105,305
2012-06-01,105,305
2012-06-02,221,550
2012-06-03,221,550
2012-06-04,221,550
2012-06-05,221,550
2012-06-06,221,550
2012-06-07,221,550
2012-06-08,221,550
2012-06-09,221,550
2012-06-10,221,550
2012-06-11,221,550
2012-06-12,221,550
2012-06-13,221,550
2012-06-14,221,550
2012-06-15,221,550
2012-06-16,370,1197
2012-06-17,370,1197
2012-06-18,370,1197
2012-06-19,370,1197
2012-06-20,370,1197
